County_name,State,County_pop,County_state,joins
Autauga,AL,58805,"Autauga, AL","AUTAUGA, AL"
Baldwin,AL,231767,"Baldwin, AL","BALDWIN, AL"
Barbour,AL,25223,"Barbour, AL","BARBOUR, AL"
Bibb,AL,22293,"Bibb, AL","BIBB, AL"
Blount,AL,59134,"Blount, AL","BLOUNT, AL"
Bullock,AL,10357,"Bullock, AL","BULLOCK, AL"
Butler,AL,19051,"Butler, AL","BUTLER, AL"
Calhoun,AL,116441,"Calhoun, AL","CALHOUN, AL"
Chambers,AL,34772,"Chambers, AL","CHAMBERS, AL"
Cherokee,AL,24971,"Cherokee, AL","CHEROKEE, AL"
Chilton,AL,45014,"Chilton, AL","CHILTON, AL"
Choctaw,AL,12665,"Choctaw, AL","CHOCTAW, AL"
Clarke,AL,23087,"Clarke, AL","CLARKE, AL"
Clay,AL,14236,"Clay, AL","CLAY, AL"
Cleburne,AL,15056,"Cleburne, AL","CLEBURNE, AL"
Coffee,AL,53465,"Coffee, AL","COFFEE, AL"
Colbert,AL,57227,"Colbert, AL","COLBERT, AL"
Conecuh,AL,11597,"Conecuh, AL","CONECUH, AL"
Coosa,AL,10387,"Coosa, AL","COOSA, AL"
Covington,AL,37570,"Covington, AL","COVINGTON, AL"
Crenshaw,AL,13194,"Crenshaw, AL","CRENSHAW, AL"
Cullman,AL,87866,"Cullman, AL","CULLMAN, AL"
Dale,AL,49326,"Dale, AL","DALE, AL"
Dallas,AL,38462,"Dallas, AL","DALLAS, AL"
DeKalb,AL,71608,"DeKalb, AL","DEKALB, AL"
Elmore,AL,87977,"Elmore, AL","ELMORE, AL"
Escambia,AL,36757,"Escambia, AL","ESCAMBIA, AL"
Etowah,AL,103436,"Etowah, AL","ETOWAH, AL"
Fayette,AL,16321,"Fayette, AL","FAYETTE, AL"
Franklin,AL,32113,"Franklin, AL","FRANKLIN, AL"
Geneva,AL,26659,"Geneva, AL","GENEVA, AL"
Greene,AL,7730,"Greene, AL","GREENE, AL"
Hale,AL,14785,"Hale, AL","HALE, AL"
Henry,AL,17146,"Henry, AL","HENRY, AL"
Houston,AL,107202,"Houston, AL","HOUSTON, AL"
Jackson,AL,52579,"Jackson, AL","JACKSON, AL"
Jefferson,AL,674721,"Jefferson, AL","JEFFERSON, AL"
Lamar,AL,13972,"Lamar, AL","LAMAR, AL"
Lauderdale,AL,93564,"Lauderdale, AL","LAUDERDALE, AL"
Lawrence,AL,33073,"Lawrence, AL","LAWRENCE, AL"
Lee,AL,174241,"Lee, AL","LEE, AL"
Limestone,AL,103570,"Limestone, AL","LIMESTONE, AL"
Lowndes,AL,10311,"Lowndes, AL","LOWNDES, AL"
Macon,AL,19532,"Macon, AL","MACON, AL"
Madison,AL,388153,"Madison, AL","MADISON, AL"
Marengo,AL,19323,"Marengo, AL","MARENGO, AL"
Marion,AL,29341,"Marion, AL","MARION, AL"
Marshall,AL,97612,"Marshall, AL","MARSHALL, AL"
Mobile,AL,414809,"Mobile, AL","MOBILE, AL"
Monroe,AL,19772,"Monroe, AL","MONROE, AL"
Montgomery,AL,228954,"Montgomery, AL","MONTGOMERY, AL"
Morgan,AL,123421,"Morgan, AL","MORGAN, AL"
Perry,AL,8511,"Perry, AL","PERRY, AL"
Pickens,AL,19123,"Pickens, AL","PICKENS, AL"
Pike,AL,33009,"Pike, AL","PIKE, AL"
Randolph,AL,21967,"Randolph, AL","RANDOLPH, AL"
Russell,AL,59183,"Russell, AL","RUSSELL, AL"
St. Clair,AL,91103,"St. Clair, AL","ST. CLAIR, AL"
Shelby,AL,223024,"Shelby, AL","SHELBY, AL"
Sumter,AL,12345,"Sumter, AL","SUMTER, AL"
Talladega,AL,82149,"Talladega, AL","TALLADEGA, AL"
Tallapoosa,AL,41311,"Tallapoosa, AL","TALLAPOOSA, AL"
Tuscaloosa,AL,227036,"Tuscaloosa, AL","TUSCALOOSA, AL"
Walker,AL,65342,"Walker, AL","WALKER, AL"
Washington,AL,15388,"Washington, AL","WASHINGTON, AL"
Wilcox,AL,10600,"Wilcox, AL","WILCOX, AL"
Winston,AL,23540,"Winston, AL","WINSTON, AL"
Aleutians East Borough,AK,3420,"Aleutians East Borough, AK","ALEUTIANS EAST BOROUGH, AK"
Aleutians West Census Area,AK,5232,"Aleutians West Census Area, AK","ALEUTIANS WEST CENSUS AREA, AK"
Anchorage Municipality,AK,291247,"Anchorage Municipality, AK","ANCHORAGE MUNICIPALITY, AK"
Bethel Census Area,AK,18666,"Bethel Census Area, AK","BETHEL CENSUS AREA, AK"
Bristol Bay Borough,AK,844,"Bristol Bay Borough, AK","BRISTOL BAY BOROUGH, AK"
Chugach Census Area,AK,7102,"Chugach Census Area, AK","CHUGACH CENSUS AREA, AK"
Copper River Census Area,AK,2617,"Copper River Census Area, AK","COPPER RIVER CENSUS AREA, AK"
