,County_name,State,County_pop
1,AUTAUGA, Alabama,58805
2,BALDWIN, Alabama,231767
3,BARBOUR, Alabama,25223
4,BIBB, Alabama,22293
5,BLOUNT, Alabama,59134
6,BULLOCK, Alabama,10357
7,BUTLER, Alabama,19051
8,CALHOUN, Alabama,116441
9,CHAMBERS, Alabama,34772
10,CHEROKEE, Alabama,24971
11,CHILTON, Alabama,45014
12,CHOCTAW, Alabama,12665
13,CLARKE, Alabama,23087
14,CLAY, Alabama,14236
15,CLEBURNE, Alabama,15056
16,COFFEE, Alabama,53465
17,COLBERT, Alabama,57227
18,CONECUH, Alabama,11597
19,COOSA, Alabama,10387
20,COVINGTON, Alabama,37570
21,CRENSHAW, Alabama,13194
22,CULLMAN, Alabama,87866
23,DALE, Alabama,49326
24,DALLAS, Alabama,38462
25,DEKALB, Alabama,71608
26,ELMORE, Alabama,87977
27,ESCAMBIA, Alabama,36757
28,ETOWAH, Alabama,103436
29,FAYETTE, Alabama,16321
30,FRANKLIN, Alabama,32113
31,GENEVA, Alabama,26659
32,GREENE, Alabama,7730
33,HALE, Alabama,14785
34,HENRY, Alabama,17146
35,HOUSTON, Alabama,107202
36,JACKSON, Alabama,52579
37,JEFFERSON, Alabama,674721
38,LAMAR, Alabama,13972
39,LAUDERDALE, Alabama,93564
40,LAWRENCE, Alabama,33073
41,LEE, Alabama,174241
42,LIMESTONE, Alabama,103570
43,LOWNDES, Alabama,10311
44,MACON, Alabama,19532
45,MADISON, Alabama,388153
46,MARENGO, Alabama,19323
47,MARION, Alabama,29341
48,MARSHALL, Alabama,97612
49,MOBILE, Alabama,414809
50,MONROE, Alabama,19772
51,MONTGOMERY, Alabama,228954
52,MORGAN, Alabama,123421
53,PERRY, Alabama,8511
54,PICKENS, Alabama,19123
55,PIKE, Alabama,33009
56,RANDOLPH, Alabama,21967
57,RUSSELL, Alabama,59183
58,ST. CLAIR, Alabama,91103
59,SHELBY, Alabama,223024
60,SUMTER, Alabama,12345
61,TALLADEGA, Alabama,82149
62,TALLAPOOSA, Alabama,41311
63,TUSCALOOSA, Alabama,227036
64,WALKER, Alabama,65342
65,WASHINGTON, Alabama,15388
66,WILCOX, Alabama,10600
67,WINSTON, Alabama,23540
68,ALEUTIANS EAST BOROUGH, Alaska,3420
69,ALEUTIANS WEST CENSUS AREA, Alaska,5232
70,ANCHORAGE MUNICIPALITY, Alaska,291247
71,BETHEL CENSUS AREA, Alaska,18666
72,BRISTOL BAY BOROUGH, Alaska,844
73,CHUGACH CENSUS AREA, Alaska,7102
74,COPPER RIVER CENSUS AREA, Alaska,2617
75,DENALI BOROUGH, Alaska,1619
76,DILLINGHAM CENSUS AREA, Alaska,4857
77,FAIRBANKS NORTH STAR BOROUGH, Alaska,95655
78,HAINES BOROUGH, Alaska,2080
79,HOONAH-ANGOON CENSUS AREA, Alaska,2365
80,JUNEAU CITY AND BOROUGH, Alaska,32255
81,KENAI PENINSULA BOROUGH, Alaska,58799
82,KETCHIKAN GATEWAY BOROUGH, Alaska,13948
83,KODIAK ISLAND BOROUGH, Alaska,13101
84,KUSILVAK CENSUS AREA, Alaska,8368
85,LAKE AND PENINSULA BOROUGH, Alaska,1476
